epoch,loss,val_loss
0,0.07709775262457483,0.006715746623847415
1,0.02675370137919398,0.005455986140113251
2,0.014272449592895368,0.0018736755899975404
3,0.011240644718282948,0.0005505525512168841
4,0.005154725118521966,0.0008957004003391109
5,0.0035544021520763636,0.0004388586767520025
6,0.0031350588713608242,0.00020542701774199182
7,0.002660002408768324,8.770394682263334e-05
8,0.0031386355997300615,0.00014689692290951773
9,0.0023729837335207883,5.756702682679044e-05
10,0.002823139488350089,6.669697630094757e-05
11,0.002213961200551221,4.6645801714975296e-05
12,0.0024927559288163833,0.00022131951917282435
13,0.002116654903682716,9.766800954536188e-05
14,0.001984521431629272,2.3262175073243414e-05
15,0.0018285079048855194,5.9024507101960754e-05
16,0.001787152392424497,0.00020620620846017903
